Year,Month,UAH/USD
2007,03,5.05
2007,04,5.05
2007,05,5.05
2007,06,5.05
2007,07,5.05
2007,08,5.05
2007,09,5.05
2007,10,5.05
2007,11,5.05
2007,12,5.05
2008,01,5.05
2008,02,5.05
2008,03,5.05
2008,04,5.05
2008,05,5.05
2008,06,4.852
2008,07,4.8489
2008,08,4.8451
2008,09,4.8462
2008,10,4.8613
2008,11,5.7604
2008,12,6.8777
2009,01,7.7
2009,02,7.7
2009,03,7.7
2009,04,7.7
2009,05,7.7
2009,06,7.6185
2009,07,7.640499999999999
2009,08,7.6979999999999995
2009,09,7.989
2009,10,8.004
2009,11,8.0
2009,12,7.9878
2010,01,7.985
2010,02,7.999
2010,03,7.99
2010,04,7.925
2010,05,7.9259
2010,06,7.9251
2010,07,7.9052999999999995
2010,08,7.8932
2010,09,7.886699999999999
2010,10,7.91
2010,11,7.9110000000000005
2010,12,7.938
2011,01,7.9616999999999996
2011,02,7.9415
2011,03,7.9347
2011,04,7.96
2011,05,7.9654
2011,06,7.9715
2011,07,7.971699999999999
2011,08,7.9712
2011,09,7.9712
2011,10,7.9727
2011,11,7.977
2011,12,7.9897
2012,01,7.9898
2012,02,7.9897
2012,03,7.9867
2012,04,7.9867
2012,05,7.9899000000000004
2012,06,7.9925
2012,07,7.9925
2012,08,7.992999999999999
2012,09,7.992999999999999
2012,10,7.992999999999999
2012,11,7.992999999999999
2012,12,7.992999999999999
2013,01,7.992999999999999
2013,02,7.992999999999999
2013,03,7.992999999999999
2013,04,7.992999999999999
2013,05,7.992999999999999
2013,06,7.992999999999999
2013,07,7.992999999999999
2013,08,7.992999999999999
2013,09,7.992999999999999
2013,10,7.992999999999999
2013,11,7.992999999999999
2013,12,7.992999999999999
2014,01,7.992999999999999
2014,02,7.992999999999999
2014,03,9.9863
2014,04,10.998099999999999
2014,05,11.401581
2014,06,11.774997
2014,07,11.785498
2014,08,11.96328
2014,09,13.114112
2014,10,12.955218
2014,11,12.950684
2014,12,15.056413
2015,01,15.768556
2015,02,16.157817
2015,03,27.76312
2015,04,23.451383
2015,05,21.046832
2015,06,21.048227
2015,07,21.005219
2015,08,21.611774999999998
2015,09,21.805419
2015,10,21.295636
2015,11,22.993727
2015,12,23.948086
2016,01,24.000667
2016,02,25.555029
2016,03,27.094802
2016,04,26.218214
2016,05,25.123024
2016,06,25.141637
2016,07,24.828412
2016,08,24.806544
2016,09,26.08125
2016,10,25.911879
2016,11,25.515438
2016,12,25.558575
2017,01,27.190858
2017,02,27.079535
2017,03,27.163714
2017,04,26.976058
2017,05,26.551453000000002
2017,06,26.310335
2017,07,26.098993999999998
2017,08,25.854789
2017,09,25.693957
2017,10,26.521093999999998
2017,11,26.862019
2017,12,27.155849
2018,01,28.067223
2018,02,27.843493
2018,03,26.805515999999997
2018,04,26.543492999999998
2018,05,26.305522
2018,06,26.122310000000002
2018,07,26.327494
2018,08,26.866716999999998
2018,09,28.279436999999998
2018,10,28.269931
2018,11,28.118832
2018,12,28.390932
2019,01,27.688264
2019,02,27.74096
2019,03,26.859164999999997
2019,04,27.209103
2019,05,26.619328
2019,06,26.872573000000003
